Probe_ID,logFC,AveExpr,t,P.Value,adj.P.Val,B,Gene_Symbol
226506_at,1.661361595,9.378590199,19.68892123,1.62E-57,8.84E-53,119.9845009,THSD4
201487_at,-1.352368472,11.26862037,-18.30369705,4.61E-52,1.26E-47,107.5859538,CTSC
212956_at,1.896525613,12.88335283,18.07422751,3.71E-51,6.75E-47,105.5281371,TBC1D9
218259_at,0.891013574,11.68396943,16.86791224,2.11E-46,1.65E-42,94.71398608,MRTFB
223712_at,0.839553986,8.680247254,16.77802221,4.76E-46,2.94E-42,93.90931364,PCBD2
202088_at,1.488129414,14.03579275,16.77634253,4.84E-46,2.94E-42,93.89428026,SLC39A6
209603_at,2.346930901,10.64526661,16.74703814,6.31E-46,3.45E-42,93.63201643,GATA3
223535_at,1.249868378,8.758242092,16.46510985,8.10E-45,3.40E-41,91.11056547,NUDT12
219197_s_at,3.212154764,10.51860255,16.42900838,1.12E-44,4.38E-41,90.78793538,SCUBE2
226120_at,0.870711773,10.59481212,16.32426952,2.89E-44,1.05E-40,89.85226384,TTC8
205074_at,0.884169405,9.554984608,16.26762613,4.83E-44,1.65E-40,89.34647753,SLC22A5
212496_s_at,1.184867333,11.2224805,16.2512133,5.60E-44,1.80E-40,89.19995384,KDM4B
220917_s_at,0.81842035,9.751755864,16.20686727,8.36E-44,2.51E-40,88.80413248,WDR19
205225_at,2.962665362,11.81251643,16.20216601,8.73E-44,2.51E-40,88.76217656,ESR1
1555993_at,1.251072289,8.142639736,16.12268441,1.79E-43,4.89E-40,88.05303971,CACNA1D
228811_at,1.281512428,7.748130268,16.03209351,4.05E-43,1.05E-39,87.24523715,TMEM8B
224428_s_at,-1.75466213,9.253880814,-15.91244748,1.19E-42,2.83E-39,86.17913272,CDCA7
228718_at,1.290873938,8.717058498,15.71507705,7.05E-42,1.61E-38,84.42258036,ZNF44
215223_s_at,-1.421121868,9.841574798,-15.64928044,1.27E-41,2.79E-38,83.83763411,SOD2
228318_s_at,0.801233623,11.07182978,15.60668119,1.87E-41,3.78E-38,83.45909451,UVSSA
