Probe_ID,logFC,AveExpr,t,P.Value,adj.P.Val,B,Gene_Symbol
211287_x_at,0.308416667,4.641581028,5.465644745,1.10E-07,0.001878505,7.268799227,CSF2RA
212425_at,-0.426224638,4.644822134,-5.38073339,1.69E-07,0.001878505,6.882698273,SCAMP1
204981_at,-0.498173913,7.491264822,-5.205374212,4.00E-07,0.002130366,6.100356276,SLC22A18
219831_at,-0.264505435,5.152019763,-5.175988387,4.61E-07,0.002130366,5.971262795,CDKL3
219831_at,-0.264505435,5.152019763,-5.175988387,4.61E-07,0.002130366,5.971262795,None
200934_at,0.467251812,10.68851383,5.130820073,5.74E-07,0.002130366,5.773971895,DEK
212156_at,-0.225731884,7.176980237,-5.075712931,7.47E-07,0.002378056,5.535143487,VPS39
219609_at,-0.236699275,5.43226087,-5.016853951,9.88E-07,0.002478672,5.282345744,WDR25
205596_s_at,0.387947464,8.72027668,5.014106704,1.00E-06,0.002478672,5.270604475,SMURF2
209838_at,-0.289088768,5.901565217,-4.967929951,1.24E-06,0.002715542,5.074031623,COPS2
218220_at,-0.305467391,7.224766798,-4.925311088,1.52E-06,0.002715542,4.893914142,MYG1
206373_at,1.433088768,6.247173913,4.919024362,1.57E-06,0.002715542,4.867451748,ZIC1
202270_at,0.801605072,9.513695652,4.904785992,1.67E-06,0.002715542,4.807620699,GBP1
200719_at,-0.37225,7.857205534,-4.900430846,1.71E-06,0.002715542,4.789348173,SKP1
220624_s_at,1.106788043,5.373150198,4.820742757,2.47E-06,0.003662617,4.457351907,ELF5
208712_at,-0.824291667,9.211166008,-4.787744811,2.87E-06,0.003892649,4.321183795,CCND1
210958_s_at,-0.494528986,6.882932806,-4.780085783,2.97E-06,0.003892649,4.289688386,MAST4
201825_s_at,-0.615280797,8.797940711,-4.751090814,3.39E-06,0.003974232,4.170832099,SCCPDH
205074_at,-0.560730072,7.001426877,-4.683059319,4.61E-06,0.005065454,3.894306204,SLC22A5
