Probe_ID,logFC,AveExpr,t,P.Value,adj.P.Val,B,Gene_Symbol
222787_s_at,-0.886584671,6.567609853,-5.575763892,1.99E-07,0.010904041,6.436615181,TMEM106B
227477_at,0.643072405,6.095179501,5.167762766,1.17E-06,0.031892107,4.920940148,ZMYND19
227512_at,0.548067123,6.042196939,4.804405865,5.30E-06,0.056243145,3.623988393,MEX3A
231235_at,-0.746076619,5.076350514,-4.797958528,5.44E-06,0.056243145,3.601467726,NKTR
243750_x_at,0.486221362,4.254750305,4.787326498,5.68E-06,0.056243145,3.564368935,SLX9
203956_at,0.57074185,9.812480717,4.766808842,6.17E-06,0.056243145,3.492913957,MORC2
1556277_a_at,-0.896499429,6.216915896,-4.657092007,9.61E-06,0.073447748,3.113948697,TENT2
232536_at,0.267230477,2.991234609,4.563462765,1.40E-05,0.073447748,2.794828536,LRRC3
217025_s_at,0.770929222,5.173066585,4.548612391,1.48E-05,0.073447748,2.74458369,DBN1
224783_at,0.731002974,7.121263525,4.537403404,1.55E-05,0.073447748,2.706727093,UBALD2
203777_s_at,0.627373134,5.987861411,4.515479053,1.69E-05,0.073447748,2.632850866,RPS6KB2
218248_at,-0.804027102,7.32556933,-4.495597377,1.82E-05,0.073447748,2.566052996,FAM111A
207525_s_at,0.445213189,7.595491827,4.494566534,1.83E-05,0.073447748,2.562594689,GIPC1
223038_s_at,0.95943511,6.776381111,4.487750417,1.88E-05,0.073447748,2.539740408,SINHCAF
223038_s_at,0.95943511,6.776381111,4.487750417,1.88E-05,0.073447748,2.539740408,SINHCAFP2
201456_s_at,-0.590921455,6.968758941,-4.436277984,2.30E-05,0.074618824,2.367868972,BUB3
209460_at,-1.409481772,7.876642447,-4.415741726,2.49E-05,0.074618824,2.29965131,ABAT
232106_s_at,0.361073198,3.994754106,4.408027364,2.57E-05,0.074618824,2.274078336,CEP89
221478_at,-0.717234467,8.409619348,-4.407443536,2.57E-05,0.074618824,2.272144131,BNIP3L
208895_s_at,0.396578875,8.30766676,4.405403139,2.59E-05,0.074618824,2.26538566,DDX18
210827_s_at,0.908264101,7.374508523,4.375655215,2.91E-05,0.075752022,2.167080981,ELF3
210827_s_at,0.908264101,7.374508523,4.375655215,2.91E-05,0.075752022,2.167080981,None
212541_at,0.701360185,7.727765937,4.338981805,3.35E-05,0.08328438,2.046487695,FLAD1
226259_at,-0.872358169,6.629410594,-4.320972299,3.59E-05,0.085365523,1.987510431,EXOC6
